cuce,entidad,objeto_de_contratacion,subasta,fecha_Presentación,archivos
25-0423-00-1541427-1-1,Caja De Salud De Caminos Y Ramas Anexas,Adquisición De Equipo De Laboratorio Stat Fax Para El Área De Química Sanguínea - Regional Santa Cruz,No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-0389-00-1541425-1-1,Navegacion Aerea Y Aeropuertos Bolivianos,"Adquisición Buzones De Seguridad Operacional Y Estaciones De Reciclaje - Gestión De Residuos, Regional Santa Cruz",Si,09/04/2025,"Convocatoria
Documento Base de Contratacion"
25-1302-00-1541423-1-1,Gobierno Autonomo Municipal De Quillacollo,Compra De Ropa De Trabajo Para La Unidad De Transportes Y Equipo Pesado - 1ra Dotacion Gestion 2025,Si,09/04/2025,"Convocatoria
Documento Base de Contratacion"
25-0046-00-1540773-1-1,Ministerio De Salud Y Deportes,Adquisicion De Toners Para El Programa De Atencion Primaria Integral Safci,Si,09/04/2025,"Convocatoria
Documento Base de Contratacion"
25-1409-00-1541041-1-1,Gobierno Autonomo Municipal De Pazna,"Servicios De Salud Universal Y Gratuita – Sus (Adquisición De Complemento Nutricional Carmelo, Para Los Centros Y Puestos De Salud Del Municipio De Pazña Primera Compra Gestión 2025)",Si,08/04/2025,"Documento Base de Contratacion
Convocatoria"
25-1345-00-1541369-1-1,Gobierno Autonomo Municipal De Entre Rios Cbba,Primera Adquisición De Lubricantes Para Maquinaria Pesada,Si,09/04/2025,"Convocatoria
Documento Base de Contratacion"
25-1302-00-1541269-1-1,Gobierno Autonomo Municipal De Quillacollo,"Adquisición De Alimentos Secos (Alimentación Complementaria) Almuerzo Escolar De Las U.E Calama, Franklin Anaya Y San Martín De Porres Gestión 2025",Si,09/04/2025,"Documento Base de Contratacion
Convocatoria"
25-1207-00-1541419-1-1,Gobierno Autonomo Municipal De Guaqui,"Const. U. E. Antofagasta Y Yaurikorahua – Puerto Mayor De Guaqui - Const. Cordon, Acera Y Desague Pluvial (Adquisicion De Materiales)",No,04/04/2025,
25-1117-00-1541366-1-1,Gobierno Autonomo Municipal De Tarabuco,"Compra De Ropa De Trabajo Para El Personal Administrativo, Tecnico Y Operativo",No,07/04/2025,
25-0222-00-1533676-3-1,Instituto Nacional De Innovación Agropecuaria Y Forestal - Iniaf,Adquisición De Insecticidas Para El Proyecto Algodón,Si,08/04/2025,"Convocatoria
Documento Base de Contratacion"
25-1335-00-1540997-1-1,Gobierno Autonomo Municipal De Puerto Villarroel,Adquisición De Ropa De Trabajo Para El Personal De La Unidad De Residuos Sólidos Choferes Reseptores Y Limpieza Madrugadora,No,07/04/2025,"Oferta del Proveedor Identificado
Declaración Jurada del Proveedor"
25-1302-00-1541326-1-1,Gobierno Autonomo Municipal De Quillacollo,Compra De Material De Limpieza Para Todas Las Unidades Del Municipio De Quillacollo.,No,07/04/2025,
25-0133-00-1541381-1-1,Loteria Nacional De Beneficencia Y Salubridad,Adquisición De Toner´S Y Tintas De Impresora Epson Para La Lotería Nacional De Beneficencia Y Salubridad,Si,09/04/2025,"Convocatoria
Documento Base de Contratacion"
25-1302-00-1541375-1-1,Gobierno Autonomo Municipal De Quillacollo,"Adquisición Azucar Blanca , Para El Almuerzo Escolar De Las U.E. Calama, Franklin Anaya Y San Martin De Porres Gestión 2025",No,07/04/2025,
25-1302-00-1541349-1-1,Gobierno Autonomo Municipal De Quillacollo,Compra De Papel Reciclado Tamaño Oficio Y Carta Para E.M.A.P.A.Q. Gestion 2025,No,07/04/2025,
25-1335-00-1541397-1-1,Gobierno Autonomo Municipal De Puerto Villarroel,"Provisión De Material De Refacción Para La U. E. 2 De Marzo, U. E. Eduardo Abaroa",No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
25-1302-00-1541399-1-1,Gobierno Autonomo Municipal De Quillacollo,"Mej. Baldosas Para Aceras Este Y Sud En Pasaje Peatonal Mercado Central Quillacollo D-1 (Compra De Materiales)(Cemento, Clavos Y Alambre )",No,07/04/2025,
25-0340-00-1535891-1-2,Servicio General De Identificacion Personal,Adquisicion De Impresoras Para El Area Administrativa De La Direccion Departamental La Paz,No,07/04/2025,"Declaración Jurada del Proveedor
Oferta del Proveedor Identificado"
